s	r	d	f	mean	sd
0.01	0.001	7	1.45	160374	132755.622812746
0.01	0.001	7	1.5	128441.6	58748.8001225557
0.01	0.001	8	0.1	4196447.2	317648.150158253
0.01	0.001	8	0.15	2661317.8	379471.556463143
0.01	0.001	8	0.2	1469601.2	110809.790423771
0.01	0.001	8	0.25	1175280.4	70249.4654573257
0.01	0.001	8	0.3	759783.6	253047.014824202
0.01	0.001	8	0.35	562255.2	94642.7298219995
0.01	0.001	8	0.4	540190.2	246858.133972855
0.01	0.001	8	0.45	369178.2	126886.886657999
0.01	0.001	8	0.5	481063.2	157003.736231212
0.01	0.001	8	0.55	387581.5	43721.6126503815
0.01	0.001	8	0.6	370830.4	110046.228568906
0.01	0.001	8	0.65	368274.6	118907.27948717
0.01	0.001	8	0.7	315247.4	104457.140298976
0.01	0.001	8	0.75	169709.4	87406.7278728588
0.01	0.001	8	0.8	173068.2	81455.6598681761
0.01	0.001	8	0.85	226547.6	64568.7086895812
0.01	0.001	8	0.9	296803.2	239815.797115536
0.01	0.001	8	0.95	247592.75	179465.529061119
0.01	0.001	8	1	227231.6	67040.8247013713
0.01	0.001	8	1.05	229358	211198.606642184
0.01	0.001	8	1.1	205489.6	98046.6110675938
0.01	0.001	8	1.15	226363.4	142749.249390111
0.01	0.001	8	1.2	121608.6	81142.750462626
0.01	0.001	8	1.25	146309.8	77507.1182728399
0.01	0.001	8	1.3	119656	124160.188962485
0.01	0.001	8	1.35	100012	65568.9478762623
0.01	0.001	8	1.4	123115.2	97150.7781057877
0.01	0.001	8	1.45	183367.8	86387.3354546834
0.01	0.001	8	1.5	181604.6	81914.8126741434
0.01	0.001	9	0.1	3905235	345146.89748975
0.01	0.001	9	0.15	2391693.8	397959.276179561
0.01	0.001	9	0.2	1451580.2	165031.846167217
0.01	0.001	9	0.25	955116.6	151873.442246628
0.01	0.001	9	0.3	711823	213669.767829705
0.01	0.001	9	0.35	586714	259433.651683817
0.01	0.001	9	0.4	497660.4	165802.107356451
0.01	0.001	9	0.45	483094	162749.526024502
0.01	0.001	9	0.5	328288.6	140493.874539213
0.01	0.001	9	0.55	401332	203299.502712623
0.01	0.001	9	0.6	223039.2	69411.9987448856
0.01	0.001	9	0.65	211043	109211.107187868
